time,Open,High,Low,Close,Volume
2026-09-02 09:00:00,58100,58100,57600,57900,237
2026-09-02 09:05:00,57900,58000,57700,57700,526
2026-09-02 09:10:00,57700,58000,57600,57800,493
2026-09-02 09:15:00,57900,58200,57800,58000,511
2026-09-02 09:20:00,58000,58700,58000,58400,1052
2026-09-02 09:25:00,58400,58650,58300,58400,567
2026-09-02 09:30:00,58400,58500,58200,58300,2598
2026-09-02 09:35:00,58300,58600,58300,58500,951
2026-09-02 09:40:00,58500,58700,58400,58500,323
2026-09-02 09:45:00,58500,58700,58500,58650,342
2026-09-02 09:50:00,58650,58700,58500,58500,513
2026-09-02 09:55:00,58500,58600,58200,58200,806
2026-09-02 10:00:00,58200,58300,56300,57900,8254
2026-09-02 10:05:00,57900,58300,57900,58300,1193
2026-09-02 10:10:00,58100,58200,58100,58100,233
2026-09-02 10:15:00,58100,58100,58000,58100,373
2026-09-02 10:20:00,58100,58100,58000,58000,282
2026-09-02 10:25:00,58000,58100,58000,58000,301
2026-09-02 10:30:00,58000,58200,58000,58100,675
2026-09-02 10:35:00,58200,58300,58000,58100,711
2026-09-02 10:40:00,58000,58200,58000,58100,450
2026-09-02 10:45:00,58150,58150,58000,58100,403
2026-09-02 10:50:00,58100,58150,57950,58000,508
2026-09-02 10:55:00,58000,58050,57900,57900,420
2026-09-02 11:00:00,57950,58100,57900,57900,757
2026-09-02 11:05:00,57900,57950,57800,57800,188
2026-09-02 11:10:00,57850,57850,57400,57500,792
2026-09-02 11:15:00,57500,57700,57400,57700,192
2026-09-02 11:20:00,57600,57800,57600,57800,513
2026-09-02 11:25:00,57800,58400,57800,58300,1140
2026-09-02 11:30:00,58200,58300,58000,58100,558
2026-09-02 11:35:00,58100,58200,58000,58200,307
2026-09-02 11:40:00,58100,58200,58100,58200,307
2026-09-02 11:45:00,58150,58200,57900,58050,679
2026-09-02 11:50:00,58000,58100,57900,58100,508
2026-09-02 11:55:00,57900,58100,57800,57900,537
2026-09-02 12:00:00,57900,58000,57900,58000,345
2026-09-02 12:05:00,57900,58100,57600,58050,573
2026-09-02 12:10:00,58000,58200,57900,57900,486
2026-09-02 12:15:00,58200,58200,57600,58200,324
2026-09-02 12:20:00,58200,58200,57700,58000,263
