time,Open,High,Low,Close,Volume
2026-08-25 09:00:00,58700,58800,58300,58400,597
2026-08-25 09:05:00,58500,58800,58100,58300,1059
2026-08-25 09:10:00,58100,58600,58100,58600,840
2026-08-25 09:15:00,58600,58600,58300,58300,260
2026-08-25 09:20:00,58300,58400,58200,58200,192
2026-08-25 09:25:00,58500,58600,58100,58100,567
2026-08-25 09:30:00,58100,58100,58100,58100,301
2026-08-25 09:35:00,58100,58200,58100,58100,311
2026-08-25 09:40:00,58000,58200,58000,58200,185
2026-08-25 09:45:00,58300,58500,57900,58000,1435
2026-08-25 09:50:00,58000,58200,57900,58000,1524
2026-08-25 09:55:00,58000,58300,58000,58100,386
2026-08-25 10:00:00,58100,58100,58000,58100,81
2026-08-25 10:05:00,58100,58200,57900,58200,283
2026-08-25 10:10:00,58200,58200,57800,57900,126
2026-08-25 10:15:00,57900,57900,57700,57800,79
2026-08-25 10:20:00,57700,57900,57500,57800,1009
2026-08-25 10:25:00,57700,57800,57700,57800,23
2026-08-25 10:30:00,57800,58000,57700,57800,830
2026-08-25 10:35:00,57800,57900,57800,57900,41
2026-08-25 10:40:00,58000,58100,57600,57900,1681
2026-08-25 10:45:00,57700,58400,57700,57900,1755
2026-08-25 10:50:00,57900,58200,57800,58100,674
2026-08-25 10:55:00,58000,58100,57800,57900,541
2026-08-25 11:00:00,57900,58000,57700,57700,191
2026-08-25 11:05:00,57700,57800,57600,57600,173
2026-08-25 11:10:00,57700,57800,57400,57600,571
2026-08-25 11:15:00,57600,57700,57500,57700,179
2026-08-25 11:20:00,57800,57800,57700,57800,18
2026-08-25 11:25:00,57700,57800,57700,57700,73
2026-08-25 11:30:00,57800,57800,57700,57700,84
2026-08-25 11:35:00,57700,57800,57700,57700,14
2026-08-25 11:40:00,57800,57800,57500,57500,87
2026-08-25 11:45:00,57500,57700,57400,57500,283
2026-08-25 11:50:00,57800,57800,57500,57800,19
2026-08-25 11:55:00,57600,57700,57500,57700,117
2026-08-25 12:00:00,57700,58000,57600,57900,343
2026-08-25 12:05:00,57800,57900,57800,57900,125
2026-08-25 12:10:00,57900,57900,57800,57800,10
2026-08-25 12:15:00,57800,57900,57500,57900,1079
2026-08-25 12:20:00,58000,58000,57600,57600,359
2026-08-25 12:25:00,57600,57700,57500,57700,37
