time,Open,High,Low,Close,Volume
2026-09-08 09:00:00,56400,57200,56300,57100,634
2026-09-08 09:05:00,57100,57100,56400,56400,82
2026-09-08 09:10:00,56400,56500,56100,56100,136
2026-09-08 09:15:00,56100,56200,55900,55900,68
2026-09-08 09:20:00,56000,56100,55800,55800,85
2026-09-08 09:25:00,55700,55900,55700,55800,27
2026-09-08 09:30:00,55800,56100,55700,56100,414
2026-09-08 09:35:00,55700,55800,55600,55700,173
2026-09-08 09:40:00,55700,55900,55600,55600,179
2026-09-08 09:45:00,55700,55700,55500,55600,67
2026-09-08 09:50:00,55700,56900,55600,55700,524
2026-09-08 09:55:00,55600,55600,55200,55300,87
2026-09-08 10:00:00,55300,55400,55200,55200,205
2026-09-08 10:05:00,55200,55400,55200,55400,91
2026-09-08 10:10:00,55400,55500,55400,55500,196
2026-09-08 10:15:00,55600,56000,55600,55800,361
2026-09-08 10:20:00,55900,56000,55800,55800,207
2026-09-08 10:25:00,55900,56100,55900,56000,225
2026-09-08 10:30:00,56100,56400,55900,56200,985
2026-09-08 10:35:00,56100,56300,55800,55900,381
2026-09-08 10:40:00,55900,56100,55700,56100,126
2026-09-08 10:45:00,56100,56200,56000,56000,173
2026-09-08 10:50:00,56100,56200,56100,56100,306
2026-09-08 10:55:00,56200,56200,56000,56100,156
2026-09-08 11:00:00,56200,56200,56100,56200,22
2026-09-08 11:05:00,56200,56400,56200,56300,228
2026-09-08 11:10:00,56400,56500,56400,56400,159
2026-09-08 11:15:00,56400,56600,56400,56500,61
2026-09-08 11:20:00,56400,56500,56400,56400,58
2026-09-08 11:25:00,56400,56700,56400,56400,492
2026-09-08 11:30:00,56600,56700,56500,56600,44
2026-09-08 11:35:00,56600,56700,56400,56500,72
2026-09-08 11:40:00,56700,57100,56500,57100,2730
2026-09-08 11:45:00,57000,57100,56900,57000,74
2026-09-08 11:50:00,57000,57000,56800,56900,70
2026-09-08 11:55:00,56800,57000,56700,56700,87
2026-09-08 12:00:00,56800,57000,56800,56900,481
2026-09-08 12:05:00,57000,57100,56900,57000,172
2026-09-08 12:10:00,57000,57000,56900,56900,43
2026-09-08 12:15:00,57000,57000,56900,57000,83
2026-09-08 12:20:00,57000,57000,56700,56700,262
2026-09-08 12:25:00,56900,57000,56800,57000,164
2026-09-08 12:30:00,56800,57000,56800,57000,76
