time,Open,High,Low,Close,Volume
2026-09-08 09:00:00,23100,23400,22850,23050,1069
2026-09-08 09:05:00,23050,23300,23000,23300,1187
2026-09-08 09:10:00,23050,23450,23050,23350,527
2026-09-08 09:15:00,23350,23400,23200,23300,296
2026-09-08 09:20:00,23300,23400,23250,23400,365
2026-09-08 09:25:00,23400,23400,23250,23250,852
2026-09-08 09:30:00,23200,23350,23200,23350,77
2026-09-08 09:35:00,23350,23350,23325,23325,36
2026-09-08 09:40:00,23350,23350,23300,23350,177
2026-09-08 09:45:00,23350,23400,23300,23300,184
2026-09-08 09:50:00,23300,23400,23300,23350,531
2026-09-08 09:55:00,23400,23400,23350,23350,185
2026-09-08 10:00:00,23300,23400,23300,23350,122
2026-09-08 10:05:00,23350,23350,23300,23300,112
2026-09-08 10:10:00,23300,23450,23300,23400,566
2026-09-08 10:15:00,23350,23500,23350,23500,1203
2026-09-08 10:20:00,23450,23700,23450,23650,3158
2026-09-08 10:25:00,23650,23700,23600,23600,837
2026-09-08 10:30:00,23600,23750,23550,23700,6467
2026-09-08 10:35:00,23750,23750,23650,23650,1776
2026-09-08 10:40:00,23600,23650,23550,23600,2279
2026-09-08 10:45:00,23550,23600,23550,23600,527
2026-09-08 10:50:00,23550,23600,23550,23550,174
2026-09-08 10:55:00,23550,23600,23550,23600,184
2026-09-08 11:00:00,23550,23650,23550,23600,1433
2026-09-08 11:05:00,23600,23650,23600,23650,172
2026-09-08 11:10:00,23650,23700,23650,23700,120
2026-09-08 11:15:00,23650,23700,23650,23700,352
2026-09-08 11:20:00,23700,23700,23650,23650,652
2026-09-08 11:25:00,23600,23700,23500,23500,1642
2026-09-08 11:30:00,23500,23600,23450,23500,539
2026-09-08 11:35:00,23500,23550,23400,23500,680
2026-09-08 11:40:00,23500,23600,23450,23600,667
2026-09-08 11:45:00,23550,23650,23500,23550,449
2026-09-08 11:50:00,23600,23700,23500,23700,1212
2026-09-08 11:55:00,23650,23800,23600,23750,1659
2026-09-08 12:00:00,23750,23800,23750,23800,1329
2026-09-08 12:05:00,23750,23850,23750,23800,2722
2026-09-08 12:10:00,23800,23850,23750,23800,1685
2026-09-08 12:15:00,23750,23800,23700,23700,530
2026-09-08 12:20:00,23700,23750,23650,23650,934
2026-09-08 12:25:00,23700,23700,23600,23650,716
2026-09-08 12:30:00,23600,23700,23600,23600,293
