time,Open,High,Low,Close,Volume
2026-09-08 09:00:00,12080,12380,12080,12330,14573
2026-09-08 09:05:00,12330,12380,12300,12320,5889
2026-09-08 09:10:00,12320,12380,12320,12340,5316
2026-09-08 09:15:00,12330,12350,12240,12280,2744
2026-09-08 09:20:00,12270,12300,12200,12270,2273
2026-09-08 09:25:00,12290,12300,12250,12270,2092
2026-09-08 09:30:00,12260,12290,12260,12290,2180
2026-09-08 09:35:00,12290,12370,12280,12370,6089
2026-09-08 09:40:00,12370,12470,12360,12470,10345
2026-09-08 09:45:00,12470,12480,12440,12450,5277
2026-09-08 09:50:00,12450,12450,12360,12380,2753
2026-09-08 09:55:00,12380,12380,12310,12310,2459
2026-09-08 10:00:00,12310,12330,12280,12280,2341
2026-09-08 10:05:00,12280,12280,12220,12220,3661
2026-09-08 10:10:00,12220,12250,12190,12210,6335
2026-09-08 10:15:00,12210,12230,12200,12220,2005
2026-09-08 10:20:00,12220,12280,12190,12270,2597
2026-09-08 10:25:00,12280,12330,12260,12290,4122
2026-09-08 10:30:00,12300,12320,12280,12315,1937
2026-09-08 10:35:00,12315,12315,12280,12300,2083
2026-09-08 10:40:00,12310,12320,12280,12280,2402
2026-09-08 10:45:00,12280,12300,12270,12290,2274
2026-09-08 10:50:00,12290,12300,12280,12280,2155
2026-09-08 10:55:00,12280,12320,12280,12290,1528
2026-09-08 11:00:00,12300,12300,12280,12280,2647
2026-09-08 11:05:00,12280,12330,12280,12320,1818
2026-09-08 11:10:00,12330,12380,12330,12360,2189
2026-09-08 11:15:00,12370,12390,12330,12330,2883
2026-09-08 11:20:00,12360,12360,12320,12340,1542
2026-09-08 11:25:00,12340,12380,12340,12360,1299
2026-09-08 11:30:00,12360,12380,12350,12360,1725
2026-09-08 11:35:00,12360,12380,12350,12360,1055
2026-09-08 11:40:00,12350,12360,12330,12350,3277
2026-09-08 11:45:00,12340,12360,12330,12340,1578
2026-09-08 11:50:00,12340,12360,12330,12360,1829
2026-09-08 11:55:00,12350,12550,12350,12520,27703
2026-09-08 12:00:00,12520,12610,12510,12590,11262
2026-09-08 12:05:00,12620,12650,12550,12580,11981
2026-09-08 12:10:00,12580,12590,12560,12580,3237
2026-09-08 12:15:00,12580,12610,12540,12550,2700
2026-09-08 12:20:00,12540,12560,12510,12520,2366
2026-09-08 12:25:00,12530,12560,12510,12550,2289
2026-09-08 12:30:00,12550,12550,12520,12520,1899
