time,Open,High,Low,Close,Volume
2026-09-08 09:00:00,45300,45300,44800,45150,3435
2026-09-08 09:05:00,45200,45450,45050,45150,1014
2026-09-08 09:10:00,45100,45100,44600,44650,3596
2026-09-08 09:15:00,44650,44850,44550,44800,2494
2026-09-08 09:20:00,44750,44800,44550,44650,3787
2026-09-08 09:25:00,44650,44700,44550,44600,1005
2026-09-08 09:30:00,44550,44700,44350,44450,2118
2026-09-08 09:35:00,44450,44600,44350,44450,809
2026-09-08 09:40:00,44450,44525,44450,44500,558
2026-09-08 09:45:00,44450,44650,44350,44450,1277
2026-09-08 09:50:00,44475,44550,44300,44300,1973
2026-09-08 09:55:00,44300,44350,44050,44100,5700
2026-09-08 10:00:00,44100,44250,44050,44125,1636
2026-09-08 10:05:00,44100,44150,44050,44100,1314
2026-09-08 10:10:00,44050,44150,44050,44100,1174
2026-09-08 10:15:00,44125,44200,44100,44175,1365
2026-09-08 10:20:00,44150,44200,44100,44150,1217
2026-09-08 10:25:00,44175,44550,44100,44300,1261
2026-09-08 10:30:00,44350,44600,44200,44500,1913
2026-09-08 10:35:00,44550,44550,44200,44250,1147
2026-09-08 10:40:00,44250,44300,44200,44250,834
2026-09-08 10:45:00,44300,44400,44200,44350,1153
2026-09-08 10:50:00,44300,44400,44225,44250,882
2026-09-08 10:55:00,44250,44450,44250,44400,807
2026-09-08 11:00:00,44400,44500,44350,44475,608
2026-09-08 11:05:00,44450,44550,44400,44475,629
2026-09-08 11:10:00,44450,44650,44400,44600,720
2026-09-08 11:15:00,44625,44750,44600,44650,771
2026-09-08 11:20:00,44650,44950,44650,44800,1147
2026-09-08 11:25:00,44800,44800,44700,44750,585
2026-09-08 11:30:00,44750,44850,44700,44700,724
2026-09-08 11:35:00,44700,44750,44650,44650,1206
2026-09-08 11:40:00,44700,44750,44550,44700,1129
2026-09-08 11:45:00,44650,44725,44550,44650,558
2026-09-08 11:50:00,44625,44650,44500,44650,787
2026-09-08 11:55:00,44600,44700,44525,44675,537
2026-09-08 12:00:00,44675,44750,44650,44700,937
2026-09-08 12:05:00,44700,44725,44550,44600,681
2026-09-08 12:10:00,44650,44750,44550,44750,716
2026-09-08 12:15:00,44700,44750,44650,44700,728
2026-09-08 12:20:00,44725,44725,44450,44500,1875
2026-09-08 12:25:00,44500,44650,44450,44600,865
2026-09-08 12:30:00,44600,44625,44500,44625,286
