time,Open,High,Low,Close,Volume
2026-09-08 09:00:00,1799000,1799000,1777000,1782000,168737
2026-09-08 09:05:00,1783000,1800000,1782000,1794000,82022
2026-09-08 09:10:00,1795000,1817000,1790000,1816000,96577
2026-09-08 09:15:00,1816000,1842000,1813000,1836000,153177
2026-09-08 09:20:00,1836000,1847000,1834500,1843000,121202
2026-09-08 09:25:00,1843000,1847000,1838000,1847000,64162
2026-09-08 09:30:00,1847000,1848000,1834000,1837000,60116
2026-09-08 09:35:00,1836000,1838000,1826000,1831000,65472
2026-09-08 09:40:00,1831000,1835000,1827000,1835000,38330
2026-09-08 09:45:00,1834000,1847000,1834000,1846000,52078
2026-09-08 09:50:00,1846000,1849000,1842000,1848000,48175
2026-09-08 09:55:00,1849000,1860000,1847000,1857000,115810
2026-09-08 10:00:00,1857000,1858000,1845000,1848000,59864
2026-09-08 10:05:00,1847000,1852000,1846000,1851000,42453
2026-09-08 10:10:00,1851000,1853000,1841000,1848000,49095
2026-09-08 10:15:00,1848000,1848000,1842000,1844000,34304
2026-09-08 10:20:00,1843000,1844000,1835000,1840000,41850
2026-09-08 10:25:00,1840000,1848000,1840000,1847000,28099
2026-09-08 10:30:00,1846000,1847000,1839000,1841000,44065
2026-09-08 10:35:00,1841000,1851000,1840000,1849000,40575
2026-09-08 10:40:00,1850000,1854000,1846500,1854000,38298
2026-09-08 10:45:00,1853500,1857000,1850000,1856000,36382
2026-09-08 10:50:00,1856000,1858000,1853000,1857000,43786
2026-09-08 10:55:00,1857000,1859000,1855000,1856000,50383
2026-09-08 11:00:00,1857000,1857000,1850000,1850000,47153
2026-09-08 11:05:00,1851000,1855000,1846000,1847000,28628
2026-09-08 11:10:00,1846000,1854000,1846000,1852000,26959
2026-09-08 11:15:00,1852000,1855000,1851000,1851000,19322
2026-09-08 11:20:00,1852000,1855000,1850000,1854000,28208
2026-09-08 11:25:00,1855000,1858000,1853000,1857000,27148
2026-09-08 11:30:00,1857000,1860000,1856000,1857000,51235
2026-09-08 11:35:00,1858000,1860000,1857000,1860000,23625
2026-09-08 11:40:00,1860000,1860000,1852000,1853000,33979
2026-09-08 11:45:00,1854000,1859000,1853000,1858000,30036
2026-09-08 11:50:00,1857000,1858000,1852000,1854000,26793
2026-09-08 11:55:00,1854000,1859000,1854000,1858000,24385
2026-09-08 12:00:00,1858000,1860000,1855000,1858000,36062
2026-09-08 12:05:00,1859000,1862000,1858000,1861000,35025
2026-09-08 12:10:00,1862000,1866000,1861000,1863000,47802
2026-09-08 12:15:00,1863000,1869000,1862500,1869000,37499
2026-09-08 12:20:00,1869000,1870000,1867000,1869000,29059
2026-09-08 12:25:00,1869000,1877000,1869000,1875000,59900
2026-09-08 12:30:00,1875000,1878000,1873000,1877000,17046
