time,Open,High,Low,Close,Volume
2026-09-08 09:00:00,65700,66000,65600,65900,2515
2026-09-08 09:05:00,65900,66200,65700,65900,5989
2026-09-08 09:10:00,66000,66200,65600,65600,2903
2026-09-08 09:15:00,65500,66000,65400,65600,4727
2026-09-08 09:20:00,65600,65900,65300,65300,2956
2026-09-08 09:25:00,65300,65700,65200,65400,3087
2026-09-08 09:30:00,65400,65700,65200,65200,3333
2026-09-08 09:35:00,65200,65700,65100,65300,3488
2026-09-08 09:40:00,65100,65500,65100,65100,2685
2026-09-08 09:45:00,65100,65300,64800,64800,5006
2026-09-08 09:50:00,64900,65000,64600,64800,3337
2026-09-08 09:55:00,64800,64900,64600,64700,2568
2026-09-08 10:00:00,64800,65200,64700,64800,4211
2026-09-08 10:05:00,64800,65100,64700,64800,2937
2026-09-08 10:10:00,64900,65200,64700,65100,3689
2026-09-08 10:15:00,65000,65100,64800,64900,2935
2026-09-08 10:20:00,65000,65600,64800,65400,3080
2026-09-08 10:25:00,65100,65600,65000,65400,2137
2026-09-08 10:30:00,65500,65800,65000,65600,4448
2026-09-08 10:35:00,65700,65800,65300,65400,5732
2026-09-08 10:40:00,65500,65600,65300,65500,2706
2026-09-08 10:45:00,65300,65500,65100,65250,2552
2026-09-08 10:50:00,65200,65700,65200,65500,2466
2026-09-08 10:55:00,65400,65800,65400,65500,2539
2026-09-08 11:00:00,65500,65700,65300,65700,2328
2026-09-08 11:05:00,65400,65700,65200,65300,2281
2026-09-08 11:10:00,65200,65700,65200,65300,2216
2026-09-08 11:15:00,65300,65600,65300,65300,2096
2026-09-08 11:20:00,65300,65600,65200,65400,1921
2026-09-08 11:25:00,65400,65500,65100,65200,1967
2026-09-08 11:30:00,65200,65500,65200,65400,1511
2026-09-08 11:35:00,65400,65500,65100,65300,2127
2026-09-08 11:40:00,65300,65300,65000,65200,2797
2026-09-08 11:45:00,65100,65400,65000,65200,1491
2026-09-08 11:50:00,65200,65500,65100,65300,1211
2026-09-08 11:55:00,65200,65500,65200,65500,1684
2026-09-08 12:00:00,65500,65500,65200,65200,1512
2026-09-08 12:05:00,65200,65500,65150,65300,1835
2026-09-08 12:10:00,65200,65400,65100,65300,1862
2026-09-08 12:15:00,65300,65400,65200,65250,2351
2026-09-08 12:20:00,65200,65400,65000,65000,1727
2026-09-08 12:25:00,65000,65300,65000,65200,2104
2026-09-08 12:30:00,65200,65300,65100,65100,779
