time,Open,High,Low,Close,Volume
2026-08-14 09:00:00,29300,29650,29000,29300,16690
2026-08-14 09:05:00,29350,29350,29100,29200,4111
2026-08-14 09:10:00,29200,29400,29050,29350,6758
2026-08-14 09:15:00,29350,29550,29150,29500,3304
2026-08-14 09:20:00,29500,29800,29500,29600,7942
2026-08-14 09:25:00,29550,29600,29200,29200,1977
2026-08-14 09:30:00,29200,29200,28900,29100,4554
2026-08-14 09:35:00,29000,29050,28950,28950,1960
2026-08-14 09:40:00,28950,29050,28800,29050,2469
2026-08-14 09:45:00,29050,29075,28850,28850,3215
2026-08-14 09:50:00,28850,28850,28650,28800,3685
2026-08-14 09:55:00,28800,28850,28650,28800,1499
2026-08-14 10:00:00,28800,28900,28750,28750,2381
2026-08-14 10:05:00,28750,28800,28750,28775,349
2026-08-14 10:10:00,28750,28800,28700,28750,1073
2026-08-14 10:15:00,28700,28750,28600,28750,1797
2026-08-14 10:20:00,28700,28800,28600,28650,2608
2026-08-14 10:25:00,28650,28800,28600,28700,2598
2026-08-14 10:30:00,28700,28800,28700,28800,1263
2026-08-14 10:35:00,28750,28750,28650,28650,1420
2026-08-14 10:40:00,28650,28700,28450,28450,6676
2026-08-14 10:45:00,28500,28700,28500,28650,2286
2026-08-14 10:50:00,28650,28700,28600,28600,593
2026-08-14 10:55:00,28600,28650,28550,28650,2194
2026-08-14 11:00:00,28600,28600,28400,28450,4634
2026-08-14 11:05:00,28500,28550,28450,28500,1884
2026-08-14 11:10:00,28500,28550,28450,28500,474
2026-08-14 11:15:00,28550,28550,28450,28500,669
2026-08-14 11:20:00,28500,28500,28450,28450,588
2026-08-14 11:25:00,28450,28550,28450,28500,811
2026-08-14 11:30:00,28550,28550,28500,28550,361
2026-08-14 11:35:00,28550,28550,28500,28550,1178
2026-08-14 11:40:00,28500,28650,28500,28650,443
2026-08-14 11:45:00,28650,28750,28650,28700,617
2026-08-14 11:50:00,28650,28700,28600,28650,345
2026-08-14 11:55:00,28600,28650,28550,28600,515
2026-08-14 12:00:00,28550,28600,28550,28600,730
2026-08-14 12:05:00,28600,28600,28550,28550,419
2026-08-14 12:10:00,28600,28600,28500,28550,124
2026-08-14 12:15:00,28550,28600,28550,28600,294
2026-08-14 12:20:00,28600,28600,28600,28600,189
2026-08-14 12:25:00,28600,28600,28550,28600,564
2026-08-14 12:30:00,28600,28650,28550,28600,854
2026-08-14 12:35:00,28600,28600,28550,28550,434
2026-08-14 12:40:00,28600,28600,28550,28600,388
2026-08-14 12:45:00,28600,28650,28600,28650,1251
2026-08-14 12:50:00,28650,28700,28650,28650,366
2026-08-14 12:55:00,28700,28800,28650,28800,1229
2026-08-14 13:00:00,28775,28800,28700,28750,592
2026-08-14 13:05:00,28750,28750,28700,28700,259
2026-08-14 13:10:00,28700,28750,28650,28750,1178
