time,Open,High,Low,Close,Volume
2026-09-01 09:00:00,58000,58900,57800,58800,711
2026-09-01 09:05:00,58800,59100,58600,58700,904
2026-09-01 09:10:00,58800,59000,58600,58700,1303
2026-09-01 09:15:00,58400,58600,58200,58300,1218
2026-09-01 09:20:00,58400,58700,58200,58300,878
2026-09-01 09:25:00,58300,58800,58100,58400,1340
2026-09-01 09:30:00,58200,58400,57800,58100,726
2026-09-01 09:35:00,58000,58200,58000,58000,582
2026-09-01 09:40:00,58000,58000,57700,58000,828
2026-09-01 09:45:00,57800,58000,57800,57800,700
2026-09-01 09:50:00,57900,57900,57600,57600,1054
2026-09-01 09:55:00,57600,57700,57500,57500,546
2026-09-01 10:00:00,57700,57800,57500,57700,715
2026-09-01 10:05:00,57700,58000,57600,57700,1028
2026-09-01 10:10:00,57600,58000,57600,57700,784
2026-09-01 10:15:00,57700,57900,57700,57700,509
2026-09-01 10:20:00,57600,57900,57500,57800,873
2026-09-01 10:25:00,57800,58100,57600,57900,1467
2026-09-01 10:30:00,57900,58000,57700,57900,707
2026-09-01 10:35:00,57900,58000,57800,57800,502
2026-09-01 10:40:00,57800,58300,57800,58000,1062
2026-09-01 10:45:00,58000,58100,57800,58000,521
2026-09-01 10:50:00,57900,58200,57800,57800,1174
2026-09-01 10:55:00,57900,58200,57800,57900,843
2026-09-01 11:00:00,57900,58100,57700,58000,639
2026-09-01 11:05:00,57900,58000,57700,57700,642
2026-09-01 11:10:00,57900,58100,57700,58000,913
2026-09-01 11:15:00,57800,58000,57700,57700,502
2026-09-01 11:20:00,57700,58300,57700,58000,1202
2026-09-01 11:25:00,57800,58200,57800,57800,1149
2026-09-01 11:30:00,57800,58000,57800,57900,614
2026-09-01 11:35:00,57800,57900,57600,57800,812
2026-09-01 11:40:00,57900,57900,57600,57900,697
2026-09-01 11:45:00,57800,57900,57600,57700,686
2026-09-01 11:50:00,57800,57900,57700,57800,740
2026-09-01 11:55:00,57700,58000,57700,57900,659
2026-09-01 12:00:00,58000,58200,57700,57900,1070
2026-09-01 12:05:00,57900,58100,57700,57800,833
2026-09-01 12:10:00,58000,58100,57800,58100,561
2026-09-01 12:15:00,58000,58000,57700,57800,514
2026-09-01 12:20:00,57900,58100,57800,57900,678
2026-09-01 12:25:00,57900,58100,57800,58000,623
2026-09-01 12:30:00,58200,58200,57700,57700,498
2026-09-01 12:35:00,57900,58000,57700,57900,593
2026-09-01 12:40:00,57900,57900,57700,57900,543
2026-09-01 12:45:00,57900,58000,57800,58000,530
2026-09-01 12:50:00,58000,58100,57700,57800,570
2026-09-01 12:55:00,57800,58100,57800,57900,631
2026-09-01 13:00:00,58000,58000,57900,58000,167
