time,Open,High,Low,Close,Volume
2026-09-01 09:00:00,31300,32350,30800,32200,32818
2026-09-01 09:05:00,32200,32400,31800,32100,22897
2026-09-01 09:10:00,32100,32600,32000,32500,23657
2026-09-01 09:15:00,32450,33050,32450,32950,29912
2026-09-01 09:20:00,32950,33000,32450,32850,11819
2026-09-01 09:25:00,32900,33250,32750,32950,15196
2026-09-01 09:30:00,32950,32950,32300,32350,13145
2026-09-01 09:35:00,32300,32900,32300,32350,7151
2026-09-01 09:40:00,32300,32600,32150,32400,5094
2026-09-01 09:45:00,32400,32450,32200,32200,4652
2026-09-01 09:50:00,32225,32250,32000,32050,7776
2026-09-01 09:55:00,32000,32350,31950,32100,3238
2026-09-01 10:00:00,32050,32150,31850,31900,4081
2026-09-01 10:05:00,31900,32300,31800,31850,2480
2026-09-01 10:10:00,31850,31850,31600,31700,4770
2026-09-01 10:15:00,31700,31775,31650,31700,1480
2026-09-01 10:20:00,31750,32000,31600,31600,3700
2026-09-01 10:25:00,31650,31650,31450,31625,4864
2026-09-01 10:30:00,31650,31750,31450,31500,2952
2026-09-01 10:35:00,31450,31700,31450,31650,1653
2026-09-01 10:40:00,31550,31700,31500,31500,3050
2026-09-01 10:45:00,31600,31650,31200,31200,4041
2026-09-01 10:50:00,31175,31300,31000,31150,7349
2026-09-01 10:55:00,31150,31150,30900,31100,3720
2026-09-01 11:00:00,31100,31300,31100,31200,2515
2026-09-01 11:05:00,31200,31250,31100,31100,2899
2026-09-01 11:10:00,31100,31150,30950,31000,3759
2026-09-01 11:15:00,31050,31450,31050,31300,1758
2026-09-01 11:20:00,31300,31400,31200,31300,1605
2026-09-01 11:25:00,31350,31500,31100,31100,2723
2026-09-01 11:30:00,31100,31400,31100,31300,1923
2026-09-01 11:35:00,31300,31500,31200,31300,1584
2026-09-01 11:40:00,31300,31500,31300,31475,1629
2026-09-01 11:45:00,31450,31700,31400,31500,3577
2026-09-01 11:50:00,31550,31650,31350,31550,1512
2026-09-01 11:55:00,31600,31800,31550,31600,2742
2026-09-01 12:00:00,31650,31700,31600,31650,838
2026-09-01 12:05:00,31650,31850,31500,31550,2127
2026-09-01 12:10:00,31550,31750,31500,31750,2272
2026-09-01 12:15:00,31650,31650,31550,31550,1078
2026-09-01 12:20:00,31550,31800,31450,31500,7271
2026-09-01 12:25:00,31500,31800,31500,31800,2439
2026-09-01 12:30:00,31700,31900,31650,31800,1964
2026-09-01 12:35:00,31800,31800,31750,31800,1539
2026-09-01 12:40:00,31850,31900,31750,31750,2488
2026-09-01 12:45:00,31750,31775,31700,31700,694
2026-09-01 12:50:00,31700,31850,31700,31700,1302
2026-09-01 12:55:00,31700,31950,31650,31900,4086
2026-09-01 13:00:00,31900,32100,31900,31950,838
