time,Open,High,Low,Close,Volume
2026-08-13 09:00:00,29700,29950,28850,29150,23764
2026-08-13 09:05:00,29150,29250,28800,29150,10503
2026-08-13 09:10:00,29150,29250,28700,28700,8542
2026-08-13 09:15:00,28700,28800,28550,28750,6936
2026-08-13 09:20:00,28750,29100,28700,29100,1619
2026-08-13 09:25:00,29100,29150,28900,29150,4532
2026-08-13 09:30:00,29100,29150,29000,29050,1256
2026-08-13 09:35:00,29050,29100,29000,29050,1758
2026-08-13 09:40:00,29050,29250,29000,29200,2173
2026-08-13 09:45:00,29200,29250,29050,29050,2546
2026-08-13 09:50:00,29100,29100,29000,29100,1248
2026-08-13 09:55:00,29100,29150,29050,29150,1247
2026-08-13 10:00:00,29050,29100,28750,28800,4079
2026-08-13 10:05:00,28800,28950,28800,28900,2070
2026-08-13 10:10:00,28900,28900,28800,28900,1342
2026-08-13 10:15:00,28900,28900,28650,28750,4300
2026-08-13 10:20:00,28750,28900,28650,28750,2126
2026-08-13 10:25:00,28750,28900,28750,28750,1546
2026-08-13 10:30:00,28800,28850,28700,28800,2246
2026-08-13 10:35:00,28750,28800,28700,28750,3259
2026-08-13 10:40:00,28750,28800,28700,28750,1243
2026-08-13 10:45:00,28750,28800,28700,28800,927
2026-08-13 10:50:00,28750,28800,28700,28750,753
2026-08-13 10:55:00,28700,28800,28700,28750,1355
2026-08-13 11:00:00,28750,28800,28600,28650,3416
2026-08-13 11:05:00,28650,28750,28650,28750,673
2026-08-13 11:10:00,28750,28850,28700,28800,592
2026-08-13 11:15:00,28800,28900,28800,28850,857
2026-08-13 11:20:00,28850,28900,28800,28850,1282
2026-08-13 11:25:00,28900,28900,28800,28850,1100
2026-08-13 11:30:00,28900,28900,28750,28800,1013
2026-08-13 11:35:00,28850,28850,28750,28850,570
2026-08-13 11:40:00,28800,28950,28750,28950,1409
2026-08-13 11:45:00,28950,29000,28850,28950,603
2026-08-13 11:50:00,28900,28950,28850,28850,967
2026-08-13 11:55:00,28850,28950,28850,28950,951
2026-08-13 12:00:00,28950,28950,28750,28800,1377
2026-08-13 12:05:00,28750,28850,28700,28850,847
2026-08-13 12:10:00,28900,28900,28750,28850,859
2026-08-13 12:15:00,28750,28850,28700,28850,2133
2026-08-13 12:20:00,28750,28800,28750,28750,442
2026-08-13 12:25:00,28750,28800,28700,28700,853
2026-08-13 12:30:00,28700,28800,28650,28650,1348
2026-08-13 12:35:00,28650,28700,28600,28650,615
2026-08-13 12:40:00,28600,28650,28600,28650,675
2026-08-13 12:45:00,28600,28650,28600,28650,407
2026-08-13 12:50:00,28650,28700,28600,28700,740
2026-08-13 12:55:00,28650,28700,28600,28650,748
2026-08-13 13:00:00,28650,28700,28550,28600,2861
2026-08-13 13:05:00,28600,28650,28600,28600,688
2026-08-13 13:10:00,28600,28600,28550,28600,564
2026-08-13 13:15:00,28600,28600,28550,28550,405
