time,Open,High,Low,Close,Volume
2026-08-24 09:00:00,52900,53000,52300,52800,4213
2026-08-24 09:05:00,52900,53000,52300,52500,3549
2026-08-24 09:10:00,52500,53100,52400,52900,2453
2026-08-24 09:15:00,52900,53000,52400,52400,709
2026-08-24 09:20:00,52500,52700,52400,52500,655
2026-08-24 09:25:00,52400,52600,52300,52500,859
2026-08-24 09:30:00,52500,52500,52200,52400,840
2026-08-24 09:35:00,52400,52900,52200,52700,969
2026-08-24 09:40:00,52700,53300,52700,53200,1367
2026-08-24 09:45:00,53300,53400,53000,53200,816
2026-08-24 09:50:00,53400,53400,53200,53200,1234
2026-08-24 09:55:00,53300,53500,53200,53400,1420
2026-08-24 10:00:00,53300,53400,53000,53300,726
2026-08-24 10:05:00,53300,53300,52900,53000,1063
2026-08-24 10:10:00,52900,53200,52900,53000,801
2026-08-24 10:15:00,53000,53200,52800,52800,670
2026-08-24 10:20:00,52900,52900,52800,52800,245
