time,Open,High,Low,Close,Volume
2026-08-24 09:00:00,59400,59400,58400,58600,460
2026-08-24 09:05:00,58600,59000,58500,59000,125
2026-08-24 09:10:00,58700,59200,58700,58800,791
2026-08-24 09:15:00,58800,58800,58700,58700,85
2026-08-24 09:20:00,58700,59000,58700,59000,135
2026-08-24 09:25:00,59000,59300,58800,59300,329
2026-08-24 09:30:00,59100,59400,59100,59300,94
2026-08-24 09:35:00,59300,59500,59200,59200,193
2026-08-24 09:40:00,59200,59200,59100,59200,267
2026-08-24 09:45:00,59200,59400,58900,58900,361
2026-08-24 09:50:00,58900,59100,58900,58900,44
2026-08-24 09:55:00,58900,58900,58700,58800,121
2026-08-24 10:00:00,58800,58900,58700,58700,283
2026-08-24 10:05:00,59000,59000,58700,58700,78
2026-08-24 10:10:00,58800,58900,58700,58700,135
2026-08-24 10:15:00,58700,58900,58600,58600,156
2026-08-24 10:20:00,58600,58700,58300,58500,628
2026-08-24 10:25:00,58500,58600,58400,58400,288
2026-08-24 10:30:00,58600,58700,58400,58700,163
2026-08-24 10:35:00,58500,58700,58400,58700,94
2026-08-24 10:40:00,58500,58900,58500,58800,294
2026-08-24 10:45:00,58600,58800,58600,58800,95
2026-08-24 10:50:00,58800,58800,58600,58600,150
2026-08-24 10:55:00,58600,58800,58600,58600,104
2026-08-24 11:00:00,58700,58700,58500,58600,53
2026-08-24 11:05:00,58600,58700,58500,58600,132
2026-08-24 11:10:00,58700,58800,58400,58400,173
2026-08-24 11:15:00,58400,58500,58400,58400,61
2026-08-24 11:20:00,58500,58600,58300,58400,955
2026-08-24 11:25:00,58500,58700,58300,58700,119
2026-08-24 11:30:00,58700,58800,58400,58700,217
2026-08-24 11:35:00,58700,58700,58400,58600,95
2026-08-24 11:40:00,58600,58600,58400,58400,84
2026-08-24 11:45:00,58600,58600,58400,58500,79
2026-08-24 11:50:00,58500,58600,58400,58500,183
2026-08-24 11:55:00,58400,58600,58400,58600,91
2026-08-24 12:00:00,58600,58600,58400,58400,166
2026-08-24 12:05:00,58400,58500,58400,58400,57
2026-08-24 12:10:00,58500,58500,58400,58500,118
2026-08-24 12:15:00,58500,58700,58400,58500,130
2026-08-24 12:20:00,58500,58800,58400,58400,516
2026-08-24 12:25:00,58400,58800,58400,58600,58
2026-08-24 12:30:00,58600,58800,58600,58800,61
2026-08-24 12:35:00,58800,58800,58600,58800,49
2026-08-24 12:40:00,58800,58800,58400,58600,790
2026-08-24 12:45:00,58400,58500,58300,58500,79
2026-08-24 12:50:00,58500,58600,58400,58600,198
2026-08-24 12:55:00,58500,58600,58400,58400,227
2026-08-24 13:00:00,58500,58500,58400,58400,81
2026-08-24 13:05:00,58500,58600,58500,58600,153
2026-08-24 13:10:00,58600,58600,58550,58600,56
2026-08-24 13:15:00,58550,58600,58550,58600,46
2026-08-24 13:20:00,58600,58600,58550,58550,49
2026-08-24 13:25:00,58600,58600,58550,58550,107
